Team,Game Date,Home,GP,W,L,T,OT,P,P%,PP Opp,PP GF,SH GA,PP GD,PP TOI/GP,PP Opp/GP,PP GF/GP,SH GA/GP,PP GD/GP,PP%,Net PP%
Tampa Bay Lightning,9/21/2020,1,1,1,0,--,--,2,1,4,2,0,2,5:21,4,2,0,2,50,50
Dallas Stars,9/21/2020,0,1,0,1,--,--,0,0,5,1,0,1,7:50,5,1,0,1,20,20
Tampa Bay Lightning,9/23/2020,0,1,1,0,--,--,2,1,4,1,1,0,6:33,4,1,1,0,25,0
Dallas Stars,9/23/2020,1,1,0,1,--,--,0,0,4,0,0,0,7:21,4,0,0,0,0,0
Tampa Bay Lightning,9/25/2020,0,1,1,0,--,--,2,1,4,3,0,3,5:14,4,3,0,3,75,75
Dallas Stars,9/25/2020,1,1,0,1,--,--,0,0,3,0,0,0,6:00,3,0,0,0,0,0
Tampa Bay Lightning,9/26/2020,1,1,0,1,--,--,0,0,1,0,0,0,2:00,1,0,0,0,0,0
Dallas Stars,9/26/2020,0,1,1,0,--,--,2,1,2,0,0,0,4:00,2,0,0,0,0,0
Tampa Bay Lightning,9/28/2020,0,1,1,0,--,--,2,1,3,1,0,1,3:45,3,1,0,1,33.3,33.3
Dallas Stars,9/28/2020,1,1,0,1,--,--,0,0,3,0,0,0,5:20,3,0,0,0,0,0
